intermediate_percentage,entry_test_score,field,city_tier,suggested_program,university_tier
41.59,42.62,Pre-Engineering,Urban,Social Sciences,Private University
100.0,97.74,Commerce,Rural,Business Administration,Mid-Tier Public University
78.83,71.75,Computer Science,Rural,Computer Science,Mid-Tier Public University
49.66,27.7,Pre-Engineering,Rural,Computer Science,Private University
50.01,44.71,Arts/Humanities,Metro,Business Administration,Private University
57.26,47.24,Commerce,Metro,Engineering,Private University
52.38,60.11,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
68.0,83.3,Pre-Engineering,Urban,Business Administration,Top Public University
54.38,59.68,Arts/Humanities,Rural,Business Administration,Private University
69.3,78.68,Commerce,Urban,Business Administration,Mid-Tier Public University
60.55,65.33,Arts/Humanities,Metro,Engineering,Private University
63.31,63.55,Pre-Engineering,Rural,Business Administration,Private University
49.44,37.54,Commerce,Rural,Social Sciences,Private University
70.04,60.53,Computer Science,Urban,Social Sciences,Top Public University
71.34,71.09,Commerce,Metro,Business Administration,Mid-Tier Public University
55.0,39.55,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
42.27,53.69,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
68.14,66.22,Commerce,Urban,Computer Science,Mid-Tier Public University
40.01,41.58,Pre-Engineering,Rural,Social Sciences,Top Public University
55.14,51.83,Commerce,Metro,Social Sciences,Private University
74.11,64.65,Pre-Engineering,Urban,Social Sciences,Top Public University
86.08,80.97,Computer Science,Rural,Computer Science,Mid-Tier Public University
62.75,70.29,Arts/Humanities,Metro,Business Administration,Top Public University
72.05,79.73,Pre-Medical,Urban,Engineering,Private University
86.48,84.41,Arts/Humanities,Rural,Social Sciences,Top Public University
51.02,46.1,Commerce,Urban,Engineering,Mid-Tier Public University
60.36,61.59,Commerce,Rural,Engineering,Mid-Tier Public University
71.24,57.19,Computer Science,Urban,Engineering,Mid-Tier Public University
86.92,83.73,Arts/Humanities,Urban,Social Sciences,Top Public University
48.88,33.3,Computer Science,Rural,Business Administration,Mid-Tier Public University
48.46,40.18,Computer Science,Metro,Business Administration,Private University
81.42,92.02,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
84.99,87.3,Commerce,Urban,Business Administration,Top Public University
57.21,43.36,Arts/Humanities,Metro,Computer Science,Private University
67.63,58.08,Computer Science,Rural,Business Administration,Mid-Tier Public University
81.28,82.78,Arts/Humanities,Metro,Social Sciences,Top Public University
63.34,48.51,Computer Science,Rural,Business Administration,Private University
37.71,37.52,Commerce,Urban,Computer Science,Private University
69.72,87.46,Commerce,Metro,Social Sciences,Top Public University
80.87,83.21,Arts/Humanities,Urban,Social Sciences,Top Public University
47.27,60.65,Computer Science,Urban,Engineering,Private University
86.16,86.12,Commerce,Urban,Business Administration,Private University
61.57,79.28,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
39.09,39.87,Pre-Engineering,Urban,Computer Science,Private University
69.53,69.45,Commerce,Urban,Medicine (MBBS),Mid-Tier Public University
43.17,57.05,Commerce,Rural,Engineering,Private University
87.03,80.42,Pre-Medical,Rural,Medicine (MBBS),Top Public University
73.63,69.41,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
93.3,87.41,Pre-Engineering,Urban,Engineering,Top Public University
40.82,42.41,Computer Science,Metro,Computer Science,Private University
68.2,64.32,Computer Science,Urban,Business Administration,Mid-Tier Public University
88.24,100.0,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
84.45,67.44,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
75.92,82.36,Computer Science,Urban,Computer Science,Top Public University
71.92,61.23,Commerce,Urban,Social Sciences,Mid-Tier Public University
76.07,76.45,Computer Science,Urban,Computer Science,Private University
81.64,95.5,Pre-Engineering,Urban,Engineering,Top Public University
93.64,85.5,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
39.52,11.08,Commerce,Urban,Business Administration,Private University
50.81,56.97,Computer Science,Urban,Social Sciences,Private University
57.41,72.85,Commerce,Metro,Social Sciences,Top Public University
69.32,68.48,Commerce,Urban,Social Sciences,Top Public University
72.12,64.29,Commerce,Urban,Social Sciences,Mid-Tier Public University
60.84,53.46,Commerce,Urban,Business Administration,Private University
65.07,68.12,Commerce,Rural,Social Sciences,Private University
77.85,70.44,Pre-Medical,Metro,Medicine (MBBS),Mid-Tier Public University
84.44,62.18,Commerce,Rural,Business Administration,Mid-Tier Public University
54.09,45.26,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
62.17,60.53,Commerce,Rural,Business Administration,Mid-Tier Public University
67.05,65.44,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
100.0,100.0,Commerce,Urban,Business Administration,Top Public University
56.08,64.53,Commerce,Metro,Business Administration,Private University
70.82,90.94,Commerce,Metro,Computer Science,Private University
66.88,51.35,Pre-Engineering,Rural,Social Sciences,Private University
59.67,67.06,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
80.32,77.5,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
64.85,62.86,Pre-Medical,Urban,Social Sciences,Private University
58.6,38.03,Commerce,Urban,Computer Science,Mid-Tier Public University
67.05,76.8,Arts/Humanities,Rural,Business Administration,Mid-Tier Public University
70.07,44.2,Commerce,Metro,Business Administration,Private University
56.29,50.55,Pre-Engineering,Urban,Medicine (MBBS),Private University
54.7,79.58,Arts/Humanities,Urban,Medicine (MBBS),Top Public University
82.92,77.4,Arts/Humanities,Metro,Social Sciences,Top Public University
56.94,65.91,Computer Science,Urban,Computer Science,Mid-Tier Public University
79.76,69.56,Pre-Medical,Urban,Medicine (MBBS),Mid-Tier Public University
63.26,51.93,Commerce,Metro,Business Administration,Mid-Tier Public University
52.82,59.02,Commerce,Urban,Business Administration,Private University
48.34,55.73,Commerce,Urban,Computer Science,Private University
39.67,33.72,Arts/Humanities,Urban,Computer Science,Private University
75.78,64.06,Commerce,Urban,Business Administration,Top Public University
75.13,68.64,Arts/Humanities,Urban,Social Sciences,Top Public University
58.87,57.23,Arts/Humanities,Metro,Computer Science,Private University
48.74,37.56,Arts/Humanities,Urban,Engineering,Mid-Tier Public University
56.7,69.97,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
67.13,59.04,Pre-Medical,Metro,Medicine (MBBS),Private University
83.92,78.35,Commerce,Rural,Business Administration,Private University
54.89,44.79,Pre-Medical,Metro,Business Administration,Mid-Tier Public University
39.18,22.89,Commerce,Urban,Computer Science,Mid-Tier Public University
68.01,73.3,Commerce,Urban,Medicine (MBBS),Top Public University
59.09,50.26,Commerce,Urban,Engineering,Private University
51.81,55.98,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
36.13,35.31,Arts/Humanities,Urban,Medicine (MBBS),Private University
73.1,100.0,Pre-Engineering,Rural,Engineering,Top Public University
85.79,94.93,Pre-Medical,Urban,Medicine (MBBS),Top Public University
48.77,74.89,Arts/Humanities,Metro,Business Administration,Private University
41.49,16.52,Commerce,Urban,Social Sciences,Private University
55.76,57.33,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
59.45,68.0,Pre-Medical,Rural,Business Administration,Mid-Tier Public University
71.94,58.95,Commerce,Metro,Computer Science,Mid-Tier Public University
65.34,69.59,Computer Science,Metro,Computer Science,Mid-Tier Public University
37.96,29.99,Computer Science,Urban,Engineering,Private University
67.89,86.61,Computer Science,Urban,Computer Science,Mid-Tier Public University
68.15,65.15,Commerce,Metro,Business Administration,Mid-Tier Public University
55.56,53.42,Commerce,Urban,Social Sciences,Private University
68.11,95.17,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
42.91,40.28,Computer Science,Urban,Computer Science,Private University
58.22,44.03,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
42.81,47.7,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
63.36,53.29,Commerce,Urban,Engineering,Private University
75.07,58.17,Pre-Medical,Urban,Medicine (MBBS),Mid-Tier Public University
33.68,37.1,Computer Science,Metro,Computer Science,Private University
63.95,70.83,Computer Science,Rural,Engineering,Private University
74.62,56.61,Commerce,Urban,Computer Science,Private University
67.29,78.95,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
88.06,67.87,Commerce,Metro,Business Administration,Mid-Tier Public University
62.69,59.64,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
96.58,100.0,Pre-Engineering,Metro,Engineering,Top Public University
65.27,71.63,Commerce,Urban,Computer Science,Mid-Tier Public University
45.43,29.38,Pre-Engineering,Urban,Social Sciences,Private University
61.76,55.91,Computer Science,Urban,Computer Science,Private University
53.7,41.36,Computer Science,Rural,Business Administration,Mid-Tier Public University
82.31,58.57,Computer Science,Metro,Computer Science,Mid-Tier Public University
88.81,96.82,Pre-Engineering,Rural,Engineering,Private University
90.13,100.0,Commerce,Metro,Business Administration,Mid-Tier Public University
76.07,63.83,Arts/Humanities,Rural,Social Sciences,Top Public University
62.43,41.26,Arts/Humanities,Rural,Computer Science,Mid-Tier Public University
55.7,48.11,Arts/Humanities,Metro,Business Administration,Private University
47.4,52.1,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
74.82,82.34,Computer Science,Metro,Computer Science,Mid-Tier Public University
45.52,37.24,Commerce,Urban,Social Sciences,Private University
60.68,75.56,Pre-Medical,Rural,Social Sciences,Private University
68.04,59.18,Pre-Engineering,Metro,Social Sciences,Private University
71.34,74.99,Computer Science,Rural,Business Administration,Top Public University
43.48,74.14,Pre-Medical,Metro,Engineering,Private University
45.69,50.82,Commerce,Rural,Social Sciences,Private University
46.77,49.26,Arts/Humanities,Metro,Computer Science,Private University
77.6,85.59,Commerce,Urban,Business Administration,Top Public University
47.36,45.07,Pre-Engineering,Metro,Medicine (MBBS),Private University
50.8,51.89,Arts/Humanities,Metro,Business Administration,Private University
73.78,62.74,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
78.84,64.38,Computer Science,Metro,Computer Science,Mid-Tier Public University
93.42,76.57,Computer Science,Rural,Computer Science,Top Public University
64.71,72.0,Arts/Humanities,Metro,Social Sciences,Private University
79.15,62.62,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
38.07,42.54,Commerce,Urban,Business Administration,Private University
74.66,100.0,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
78.32,88.31,Commerce,Urban,Business Administration,Top Public University
80.02,73.06,Computer Science,Rural,Computer Science,Private University
58.19,62.85,Pre-Engineering,Urban,Social Sciences,Private University
87.1,100.0,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
90.3,82.2,Computer Science,Metro,Computer Science,Private University
65.91,80.4,Commerce,Metro,Computer Science,Mid-Tier Public University
66.65,45.92,Computer Science,Metro,Computer Science,Mid-Tier Public University
60.71,46.5,Computer Science,Urban,Social Sciences,Private University
61.28,73.9,Pre-Engineering,Metro,Computer Science,Mid-Tier Public University
65.78,49.99,Pre-Medical,Urban,Social Sciences,Private University
46.37,64.07,Computer Science,Urban,Social Sciences,Private University
45.01,39.06,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
61.52,65.8,Computer Science,Rural,Business Administration,Private University
57.71,56.29,Commerce,Urban,Engineering,Private University
80.17,67.24,Commerce,Metro,Business Administration,Top Public University
62.35,72.11,Commerce,Metro,Computer Science,Mid-Tier Public University
51.01,50.39,Computer Science,Metro,Computer Science,Private University
38.54,50.01,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
60.46,42.32,Commerce,Metro,Social Sciences,Private University
49.3,18.06,Commerce,Rural,Medicine (MBBS),Private University
38.3,37.24,Computer Science,Urban,Medicine (MBBS),Private University
94.56,93.55,Computer Science,Urban,Computer Science,Top Public University
36.39,32.88,Computer Science,Rural,Computer Science,Mid-Tier Public University
90.89,97.73,Arts/Humanities,Rural,Social Sciences,Private University
100.0,100.0,Computer Science,Urban,Computer Science,Top Public University
67.59,46.14,Computer Science,Metro,Business Administration,Mid-Tier Public University
59.22,41.51,Pre-Engineering,Rural,Computer Science,Private University
76.27,66.69,Pre-Engineering,Urban,Engineering,Top Public University
52.39,50.59,Arts/Humanities,Rural,Engineering,Private University
69.01,65.63,Pre-Engineering,Rural,Computer Science,Private University
77.73,80.03,Commerce,Metro,Business Administration,Private University
47.02,16.97,Commerce,Metro,Business Administration,Private University
89.61,99.45,Commerce,Metro,Business Administration,Top Public University
67.34,64.29,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
70.65,72.35,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
86.3,100.0,Commerce,Urban,Business Administration,Top Public University
44.95,50.67,Pre-Engineering,Urban,Social Sciences,Private University
47.15,39.12,Computer Science,Urban,Business Administration,Top Public University
70.69,64.93,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
71.97,87.32,Commerce,Metro,Social Sciences,Private University
62.6,63.78,Commerce,Metro,Computer Science,Mid-Tier Public University
64.58,73.15,Computer Science,Metro,Social Sciences,Mid-Tier Public University
62.47,61.7,Pre-Engineering,Urban,Social Sciences,Private University
51.59,74.22,Pre-Medical,Metro,Computer Science,Private University
46.23,80.46,Pre-Medical,Metro,Social Sciences,Private University
54.87,51.11,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
67.95,67.06,Computer Science,Urban,Business Administration,Top Public University
72.69,68.55,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
46.99,36.58,Computer Science,Urban,Business Administration,Mid-Tier Public University
92.31,100.0,Computer Science,Rural,Computer Science,Mid-Tier Public University
100.0,100.0,Commerce,Urban,Business Administration,Top Public University
69.14,51.86,Pre-Medical,Rural,Computer Science,Private University
53.82,43.31,Computer Science,Rural,Engineering,Private University
63.25,75.59,Computer Science,Metro,Business Administration,Mid-Tier Public University
77.97,80.25,Commerce,Rural,Business Administration,Top Public University
64.5,79.67,Arts/Humanities,Metro,Engineering,Private University
94.57,87.9,Arts/Humanities,Metro,Social Sciences,Top Public University
61.63,81.73,Arts/Humanities,Rural,Business Administration,Private University
80.26,62.54,Commerce,Metro,Business Administration,Mid-Tier Public University
73.08,78.65,Pre-Medical,Urban,Engineering,Top Public University
100.0,94.58,Arts/Humanities,Urban,Social Sciences,Top Public University
72.29,73.0,Pre-Medical,Metro,Medicine (MBBS),Top Public University
73.27,82.71,Pre-Engineering,Metro,Engineering,Mid-Tier Public University
53.13,48.85,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
62.17,58.27,Computer Science,Urban,Computer Science,Private University
46.02,39.95,Commerce,Metro,Business Administration,Mid-Tier Public University
100.0,100.0,Commerce,Urban,Business Administration,Top Public University
66.97,48.84,Arts/Humanities,Metro,Social Sciences,Private University
63.1,60.05,Computer Science,Metro,Engineering,Mid-Tier Public University
66.66,77.96,Pre-Medical,Metro,Computer Science,Top Public University
72.23,57.87,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
74.65,56.84,Computer Science,Metro,Computer Science,Private University
39.29,43.69,Commerce,Metro,Business Administration,Mid-Tier Public University
85.61,62.86,Pre-Medical,Metro,Medicine (MBBS),Top Public University
67.29,38.39,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
65.42,66.61,Computer Science,Urban,Medicine (MBBS),Mid-Tier Public University
93.58,89.25,Arts/Humanities,Urban,Social Sciences,Top Public University
70.37,80.5,Pre-Engineering,Urban,Business Administration,Private University
54.3,43.74,Commerce,Urban,Computer Science,Private University
53.2,63.31,Pre-Engineering,Rural,Computer Science,Private University
78.15,71.6,Computer Science,Metro,Computer Science,Mid-Tier Public University
67.23,53.89,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
68.42,82.42,Computer Science,Urban,Business Administration,Top Public University
46.77,62.09,Pre-Medical,Urban,Engineering,Private University
68.81,57.27,Commerce,Urban,Social Sciences,Private University
56.14,51.03,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
54.09,54.42,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
85.82,91.81,Pre-Medical,Urban,Medicine (MBBS),Private University
70.62,69.21,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
61.98,56.5,Commerce,Metro,Engineering,Private University
81.35,99.89,Computer Science,Metro,Computer Science,Top Public University
94.83,98.88,Arts/Humanities,Urban,Social Sciences,Top Public University
43.26,25.99,Arts/Humanities,Urban,Engineering,Private University
80.59,67.72,Arts/Humanities,Metro,Social Sciences,Top Public University
70.16,62.42,Commerce,Rural,Business Administration,Top Public University
65.09,77.38,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
87.65,100.0,Commerce,Metro,Business Administration,Top Public University
79.19,67.65,Commerce,Metro,Business Administration,Mid-Tier Public University
59.42,75.57,Pre-Medical,Metro,Engineering,Private University
85.49,92.96,Arts/Humanities,Urban,Social Sciences,Top Public University
63.42,74.97,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
66.13,74.01,Pre-Engineering,Rural,Computer Science,Top Public University
46.29,35.98,Arts/Humanities,Metro,Engineering,Mid-Tier Public University
66.92,54.71,Commerce,Urban,Computer Science,Private University
75.38,92.4,Commerce,Metro,Business Administration,Top Public University
61.3,52.41,Commerce,Urban,Engineering,Private University
66.74,74.06,Computer Science,Rural,Engineering,Private University
85.68,97.59,Pre-Medical,Urban,Medicine (MBBS),Mid-Tier Public University
64.02,62.14,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
56.68,69.81,Commerce,Urban,Business Administration,Top Public University
92.15,100.0,Commerce,Urban,Business Administration,Private University
55.43,80.67,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
33.0,37.21,Pre-Medical,Urban,Engineering,Private University
46.63,47.46,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
62.25,64.52,Computer Science,Urban,Computer Science,Private University
47.72,34.96,Arts/Humanities,Metro,Business Administration,Private University
48.71,54.05,Commerce,Metro,Computer Science,Private University
58.59,50.2,Computer Science,Urban,Computer Science,Top Public University
63.35,64.62,Arts/Humanities,Metro,Social Sciences,Private University
62.25,70.06,Commerce,Metro,Business Administration,Private University
65.95,68.7,Commerce,Rural,Social Sciences,Private University
82.74,68.14,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
100.0,100.0,Commerce,Rural,Business Administration,Top Public University
84.28,88.2,Arts/Humanities,Urban,Social Sciences,Top Public University
76.41,67.45,Commerce,Urban,Business Administration,Top Public University
55.92,56.36,Arts/Humanities,Metro,Computer Science,Private University
67.69,88.06,Commerce,Metro,Social Sciences,Mid-Tier Public University
50.18,48.74,Arts/Humanities,Urban,Computer Science,Mid-Tier Public University
65.95,64.74,Pre-Engineering,Rural,Business Administration,Mid-Tier Public University
49.65,58.76,Commerce,Urban,Social Sciences,Private University
82.71,94.33,Arts/Humanities,Urban,Social Sciences,Top Public University
98.27,97.47,Arts/Humanities,Urban,Social Sciences,Top Public University
80.93,65.62,Arts/Humanities,Urban,Social Sciences,Private University
100.0,95.78,Arts/Humanities,Urban,Social Sciences,Top Public University
49.34,36.81,Computer Science,Metro,Social Sciences,Mid-Tier Public University
79.71,98.99,Commerce,Metro,Business Administration,Top Public University
64.61,72.46,Computer Science,Metro,Computer Science,Top Public University
69.01,66.9,Commerce,Urban,Social Sciences,Mid-Tier Public University
50.04,24.33,Arts/Humanities,Metro,Medicine (MBBS),Private University
65.51,58.49,Commerce,Urban,Medicine (MBBS),Private University
64.83,80.18,Arts/Humanities,Rural,Business Administration,Private University
55.67,61.84,Computer Science,Metro,Computer Science,Private University
83.66,80.45,Computer Science,Rural,Computer Science,Top Public University
77.84,39.31,Computer Science,Urban,Computer Science,Top Public University
84.47,83.01,Commerce,Rural,Business Administration,Mid-Tier Public University
58.32,51.04,Commerce,Rural,Engineering,Private University
56.33,69.3,Commerce,Urban,Computer Science,Private University
48.58,46.1,Arts/Humanities,Rural,Social Sciences,Private University
79.0,84.05,Pre-Medical,Metro,Medicine (MBBS),Top Public University
81.09,95.11,Computer Science,Rural,Computer Science,Top Public University
65.88,58.22,Commerce,Metro,Business Administration,Private University
55.46,40.71,Computer Science,Urban,Social Sciences,Mid-Tier Public University
67.73,58.21,Commerce,Rural,Computer Science,Private University
73.77,79.9,Commerce,Urban,Computer Science,Top Public University
74.35,98.65,Pre-Engineering,Urban,Social Sciences,Top Public University
62.47,72.52,Pre-Engineering,Urban,Business Administration,Private University
83.39,75.76,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
86.04,100.0,Commerce,Rural,Business Administration,Top Public University
52.85,48.67,Pre-Engineering,Urban,Computer Science,Private University
71.17,77.35,Arts/Humanities,Rural,Computer Science,Private University
67.58,65.57,Computer Science,Urban,Engineering,Mid-Tier Public University
46.75,60.06,Pre-Engineering,Urban,Computer Science,Mid-Tier Public University
57.84,49.54,Commerce,Urban,Medicine (MBBS),Private University
70.36,71.71,Computer Science,Urban,Computer Science,Mid-Tier Public University
84.53,96.3,Pre-Engineering,Metro,Engineering,Top Public University
55.6,54.84,Arts/Humanities,Rural,Computer Science,Private University
60.58,63.06,Arts/Humanities,Metro,Business Administration,Private University
63.21,67.23,Pre-Medical,Urban,Computer Science,Mid-Tier Public University
59.98,42.38,Commerce,Urban,Social Sciences,Private University
44.56,48.79,Commerce,Metro,Business Administration,Mid-Tier Public University
79.11,66.74,Arts/Humanities,Metro,Social Sciences,Mid-Tier Public University
62.94,57.45,Commerce,Metro,Computer Science,Private University
73.22,67.11,Computer Science,Urban,Computer Science,Private University
76.76,72.49,Pre-Engineering,Urban,Engineering,Private University
59.76,69.4,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
51.52,44.48,Commerce,Rural,Social Sciences,Mid-Tier Public University
55.77,65.28,Arts/Humanities,Urban,Social Sciences,Private University
58.58,57.88,Arts/Humanities,Metro,Engineering,Private University
53.73,48.04,Computer Science,Urban,Social Sciences,Private University
61.64,55.38,Pre-Engineering,Rural,Engineering,Private University
44.66,46.01,Arts/Humanities,Urban,Business Administration,Private University
59.39,62.36,Pre-Medical,Metro,Computer Science,Private University
57.15,47.35,Pre-Engineering,Rural,Engineering,Private University
70.03,72.68,Commerce,Rural,Business Administration,Mid-Tier Public University
73.84,70.13,Pre-Engineering,Urban,Computer Science,Top Public University
93.71,93.53,Arts/Humanities,Urban,Social Sciences,Top Public University
84.46,82.52,Computer Science,Metro,Computer Science,Top Public University
76.91,74.68,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
66.69,55.22,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
67.68,89.59,Pre-Engineering,Metro,Social Sciences,Mid-Tier Public University
72.34,83.78,Arts/Humanities,Urban,Computer Science,Top Public University
63.39,56.4,Computer Science,Urban,Business Administration,Mid-Tier Public University
67.41,61.21,Pre-Engineering,Urban,Social Sciences,Mid-Tier Public University
53.95,48.58,Arts/Humanities,Metro,Computer Science,Private University
72.59,88.96,Commerce,Rural,Computer Science,Top Public University
53.18,39.29,Arts/Humanities,Metro,Computer Science,Private University
59.75,71.53,Computer Science,Rural,Engineering,Mid-Tier Public University
58.67,53.09,Commerce,Metro,Computer Science,Private University
100.0,94.93,Computer Science,Rural,Computer Science,Top Public University
68.8,53.78,Commerce,Urban,Computer Science,Mid-Tier Public University
81.7,89.78,Arts/Humanities,Rural,Social Sciences,Mid-Tier Public University
48.18,65.82,Pre-Engineering,Rural,Engineering,Top Public University
75.71,83.76,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
62.6,55.4,Commerce,Metro,Medicine (MBBS),Private University
81.06,57.73,Pre-Medical,Metro,Medicine (MBBS),Top Public University
61.13,57.14,Commerce,Urban,Computer Science,Private University
49.73,55.66,Commerce,Rural,Social Sciences,Private University
78.55,62.23,Computer Science,Urban,Computer Science,Private University
67.69,70.76,Pre-Engineering,Urban,Computer Science,Top Public University
47.18,36.64,Computer Science,Metro,Social Sciences,Private University
65.55,49.26,Commerce,Metro,Computer Science,Private University
52.74,36.37,Pre-Engineering,Urban,Medicine (MBBS),Private University
77.52,94.2,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
68.3,64.21,Pre-Engineering,Metro,Business Administration,Mid-Tier Public University
72.49,54.33,Commerce,Rural,Computer Science,Mid-Tier Public University
52.73,45.03,Computer Science,Metro,Engineering,Private University
87.29,59.8,Commerce,Metro,Business Administration,Mid-Tier Public University
58.37,38.46,Commerce,Rural,Social Sciences,Private University
71.66,50.62,Pre-Engineering,Metro,Business Administration,Private University
63.51,67.72,Arts/Humanities,Urban,Medicine (MBBS),Private University
68.31,81.69,Computer Science,Urban,Computer Science,Mid-Tier Public University
48.68,39.03,Commerce,Metro,Computer Science,Mid-Tier Public University
68.31,82.97,Pre-Engineering,Rural,Computer Science,Mid-Tier Public University
73.12,61.53,Commerce,Metro,Social Sciences,Top Public University
47.87,64.27,Pre-Medical,Metro,Social Sciences,Private University
82.72,90.94,Computer Science,Rural,Computer Science,Top Public University
52.15,57.17,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
58.72,53.87,Pre-Engineering,Rural,Business Administration,Private University
57.56,23.28,Pre-Engineering,Urban,Social Sciences,Private University
84.67,84.19,Pre-Engineering,Urban,Engineering,Top Public University
59.34,51.53,Pre-Engineering,Rural,Engineering,Private University
60.63,61.69,Pre-Engineering,Metro,Business Administration,Top Public University
72.07,79.72,Pre-Engineering,Rural,Computer Science,Private University
69.39,72.64,Pre-Engineering,Metro,Business Administration,Top Public University
84.42,80.19,Computer Science,Urban,Computer Science,Top Public University
60.76,67.46,Computer Science,Rural,Computer Science,Private University
57.95,56.6,Pre-Medical,Metro,Business Administration,Private University
55.15,45.16,Arts/Humanities,Metro,Computer Science,Mid-Tier Public University
55.09,62.16,Pre-Engineering,Metro,Computer Science,Private University
77.79,70.93,Pre-Engineering,Urban,Engineering,Mid-Tier Public University
74.67,64.68,Commerce,Rural,Computer Science,Private University
61.89,73.83,Commerce,Metro,Computer Science,Top Public University
64.95,60.67,Computer Science,Metro,Medicine (MBBS),Top Public University
33.63,34.06,Arts/Humanities,Urban,Business Administration,Mid-Tier Public University
79.52,62.89,Computer Science,Rural,Computer Science,Top Public University
73.81,77.38,Pre-Engineering,Metro,Business Administration,Top Public University
35.07,61.12,Pre-Engineering,Metro,Social Sciences,Private University
58.54,62.77,Arts/Humanities,Urban,Social Sciences,Private University
65.53,69.93,Computer Science,Metro,Engineering,Mid-Tier Public University
88.69,76.92,Commerce,Rural,Business Administration,Top Public University
70.9,79.8,Pre-Engineering,Urban,Business Administration,Mid-Tier Public University
85.83,64.8,Commerce,Urban,Business Administration,Private University
90.83,75.77,Pre-Medical,Urban,Medicine (MBBS),Top Public University
78.03,77.52,Pre-Engineering,Urban,Engineering,Top Public University
52.74,75.94,Arts/Humanities,Metro,Computer Science,Private University
46.96,55.17,Commerce,Rural,Social Sciences,Private University
62.66,54.78,Arts/Humanities,Metro,Business Administration,Private University
78.74,55.83,Commerce,Urban,Business Administration,Top Public University
73.62,78.14,Computer Science,Rural,Computer Science,Private University
47.51,22.33,Arts/Humanities,Metro,Business Administration,Private University
78.05,54.27,Commerce,Urban,Business Administration,Mid-Tier Public University
53.58,50.05,Pre-Medical,Metro,Computer Science,Private University
61.3,57.76,Commerce,Metro,Engineering,Private University
82.44,60.22,Computer Science,Urban,Computer Science,Mid-Tier Public University
69.07,56.06,Computer Science,Metro,Social Sciences,Mid-Tier Public University
59.18,59.09,Arts/Humanities,Metro,Business Administration,Mid-Tier Public University
55.66,47.61,Arts/Humanities,Urban,Social Sciences,Mid-Tier Public University
68.2,69.15,Pre-Engineering,Rural,Engineering,Mid-Tier Public University
71.31,78.39,Commerce,Urban,Medicine (MBBS),Mid-Tier Public University
64.93,80.62,Pre-Engineering,Metro,Social Sciences,Top Public University
55.51,75.35,Commerce,Rural,Social Sciences,Mid-Tier Public University
74.23,82.18,Commerce,Rural,Social Sciences,Top Public University
79.94,79.04,Computer Science,Rural,Computer Science,Top Public University
50.28,46.56,Arts/Humanities,Urban,Computer Science,Private University
